Question,Scenario,Choice_A,Choice_B,Choice_C,Choice_D,Correct_Answer,Explanation,Source
Is evidence of the juvenile adjudication admissible over the entrepreneur’s objection?,"A young entrepreneur is on trial for tax fraud.  He testified that the inconsistencies in his tax returns were attributable to bookkeeping errors, not a willful desire to avoid taxes.  The prosecution seeks to introduce evidence of the entrepreneur’s juvenile adjudication for felony credit-card fraud that occurred nine years earlier.  The entrepreneur’s attorney objects to introduction of this evidence.","No, because juvenile adjudications are inadmissible to attack a criminal defendant's character for truthfulness.","No, because specific instances of conduct cannot be used to attack a criminal defendant's character for truthfulness.","Yes, because the juvenile adjudication involves a felony offense.","Yes, because the juvenile adjudication occurred within the last ten years.",A,,In-Class MBE
Should the court allow evidence of the conviction?,"A plaintiff sued a defendant in federal court for assault and battery.  At trial, the court has allowed the plaintiff to introduce the deposition testimony of a witness, now deceased, that he was with the plaintiff at the time of the incident.

The defendant now seeks to impeach the testimony of the witness with his 13-year-old conviction for burglary (for which he served 18 months in prison) for breaking into the home of a neighbor while she was away and taking some of her valuable jewelry.","No, because the witness did not testify at trial.","No, unless the court finds, in the interests of justice, that the probative value of the conviction, supported by specific facts and circumstances, substantially outweighs its prejudicial effect.","Yes, because prior convictions are probative to impeach the witness's character for truthfulness.","Yes, because the crime involved an act of dishonesty.",B,,In-Class MBE
"If the defendant objects, how should the court rule?","A defendant is on trial for tax evasion.  The defendant called his accountant to testify that the inconsistencies in the defendant’s tax returns were clerical errors that occurred when the defendant’s account information was transferred into a new accounting system.

On cross-examination, the prosecutor seeks to attack the accountant’s credibility by questioning him about his prior arrest for embezzlement and introducing evidence of his prior conviction for disorderly conduct.","Admit evidence of the arrest and the conviction, because the witness opened the door to reputation testimony.","Admit evidence of the arrest, but exclude evidence of the conviction because specific instances of conduct must be introduced intrinsically.","Exclude evidence of the arrest and the conviction, but allow the prosecutor to cross-examine the accountant about the underlying conduct that led to the arrest.","Exclude evidence of the conviction, but admit evidence of the arrest because it involves a crime of dishonesty.",C,,In-Class MBE
Is evidence of the witness's prior conviction admissible?,"A defendant is charged with murdering his business partner.  At trial, the defendant called a witness to testify that he was with the defendant at an all-day business conference on the day of the murder.  The witness further testified that the defendant remained at the conference and did not leave at any point for an extended amount of time.

On cross-examination, the prosecutor seeks to impeach the witness by introducing evidence of his five-year-old conviction for stalking for which the witness served two years in prison.  The defendant objects on the ground that the witness’s conviction was pardoned pursuant to a first-offender pardon program which automatically pardons first-time offenders upon the successful completion of their sentence.","No, because the witness did not put his character at issue by testifying about the defendant's whereabouts.","No, because the witness's character for truthfulness cannot be impeached with a specific instance of conduct.","Yes, because prior convictions are probative of a witness's character for truthfulness.","Yes, because the conviction was not pardoned based on a finding of innocence.",D,,In-Class MBE
Are the donation records admissible?,"A plaintiff sued a nonprofit organization after falling down a small set of stairs while visiting its headquarters.  The plaintiff alleges that the nonprofit was negligent in failing to adequately mark the stairs.  The nonprofit argues that the stairs were adequately marked and that the plaintiff’s failure to watch her step caused the fall.  At trial, the nonprofit called a witness who testified that he saw the plaintiff looking down at her cellphone just before falling.

On cross-examination, the plaintiff’s attorney asked the witness whether he had ever made monetary donations to the nonprofit.  The witness denied making any donations.  The plaintiff’s attorney now seeks to introduce donation records from the nonprofit that the witness had made 10 donations to the nonprofit over the past 5 years.","No, because the donation records are extrinsic evidence of the witness's conduct.","No, because the donation records are hearsay not within an exception.","Yes, as impeachment evidence of the witness's bias.","Yes, as impeachment evidence of the witness's character for truthfulness.",C,,In-Class MBE
How should the court proceed?,"A plaintiff sued a defendant for damages stemming from a slip-and-fall accident on the defendant’s property.  At trial, the plaintiff’s key witness testified that the defendant failed to maintain his property, making it unsafe for visitors.  The defendant then called his own witness to testify that the plaintiff’s witness has a poor reputation in the community for honesty and had once cheated in a community raffle to win a new car.  The plaintiff has objected to the defendant’s witness’s testimony.",Admit the testimony in its entirety.,"Admit the testimony regarding the plaintiff's witness's reputation for honesty, but exclude the testimony about the community raffle.","Exclude the testimony about the plaintiff's witness's reputation for honesty, but admit the testimony about the community raffle.",Exclude the testimony in its entirety.,B,,In-Class MBE
Is the question about the prior convictions proper either to impeach the defendant or to prove that the defendant committed the crime?,"A defendant is on trial for attempted fraud.  The state charges that the defendant switched a price tag from a cloth coat to a more expensive fur-trimmed coat and then presented the latter for purchase at the cash register.  The defendant has testified in her own behalf that someone else must have switched the tag.

On cross-examination, the prosecutor asks whether the defendant was convicted twice within the last five years of misdemeanor fraud of a retailer by the same means of switching the price tag on a fur-trimmed coat.",It is not proper for either purpose.,It is proper for both purposes.,"It is proper to impeach the defendant, but not to prove that the defendant committed the crime.","It is proper to prove that the defendant committed the crime, but not to impeach the defendant.",B,,In-Class MBE
Should the testimony be admitted?,"A defendant was charged with the crime of defrauding the federal agency where he worked as an accountant.  At trial, the court allowed the defendant to call his supervisor at the large corporation where he had previously worked, who testified about the defendant’s good reputation in the community for honesty.  Over objection, the defendant then sought to elicit testimony from his former supervisor that on several occasions the corporation had, without incident, entrusted him with large sums of money.","No, because good character cannot be proved by specific instances of conduct unless character is an essential element of the charge or defense.","No, because the testimony is extrinsic evidence on a collateral matter.","Yes, because it is evidence of a pertinent character trait offered by an accused.","Yes, because it is relevant to whether the defendant was likely to have taken money as charged in this case.",A,,In-Class MBE
How should the court proceed?,"A defendant was charged with battery for allegedly attacking a man after the two of them left a local bar together.  No one else witnessed the incident.  At trial, each testified that he had acted only in self-defense.  The defendant has called his next-door neighbor as a witness to testify to the defendant’s reputation both for truthfulness and for peacefulness.  The government has objected to the testimony in its entirety.",Admit the evidence in its entirety.,"Admit the evidence regarding the defendant's reputation for peacefulness, but exclude the evidence regarding his truthfulness.","Exclude the evidence regarding the defendant's reputation for peacefulness, but admit the evidence regarding his truthfulness.",Exclude the evidence in its entirety.,B,,In-Class MBE
Should the testimony be admitted?,"A man and his neighbor were involved in an ongoing dispute over loud parties frequently held at the neighbor’s home.  One morning, after the neighbor hosted a particularly raucous affair, the man approached the neighbor and a fight ensued.

The man was charged with assault.  At trial, the man did not take the stand but sought to offer opinion evidence of his good character for truth and honesty.","No, because character cannot be used to prove conduct in conformity therewith.","No, because the testimony is evidence of a trait not pertinent to the case.","Yes, because a criminal defendant may always offer evidence of his good character.","Yes, because a party's credibility is in issue.",B,,In-Class MBE
Is this evidence admissible?,"A defendant is on trial for the murder of his father.  The defendant’s defense is that he shot his father accidentally.

The prosecutor calls a police officer to testify that on two occasions in the year prior to this incident, he had been called to the defendant’s home because of complaints of loud arguments between the defendant and his father, and had found it necessary to stop the defendant from beating his father.","No, because it is improper character evidence.","No, because the police officer lacks firsthand knowledge of who started the quarrels.","Yes, to show that the defendant is a violent person.","Yes, to show that the defendant killed his father intentionally.",D,,In-Class MBE
"On the issue of giving notice, is the letter copy admissible?","A construction company sued a developer for money owed on a cost-plus contract that required notice of proposed expenditures beyond original estimates.  The developer asserted that it never received the required notice.

At trial the construction company calls its general manager to testify that it is the construction company’s routine practice to send cost overrun notices as required by the contract.  The manager also offers a photocopy of the cost overrun notice letter to the developer on which the construction company is relying, and which he has taken from the construction company’s regular business files.","No, because it is hearsay not within any exception.","No, because it is not the best evidence of the notice.","Yes, because of the routine practices of the company.","Yes, though hearsay, under the business record exception.",C,,In-Class MBE
Is this evidence admissible?,"A man was charged with armed robbery of a store and denied that he was the person who had robbed the store.  In presenting the state’s case, the prosecutor seeks to introduce evidence that the man had robbed two other stores in the past year.","No, because character must be proved by reputation or opinion and may not be proved by specific acts.","No, because its probative value is substantially outweighed by the danger of unfair prejudice.","Yes, to prove a pertinent trait of the man's character and the man's action in conformity therewith.","Yes, to prove the man's identity.",B,,In-Class MBE
Is this testimony regarding the man's conduct during the three prior arrests admissible?,"A man has sued a police officer, alleging that the officer violated the man’s civil rights by using excessive force while arresting him.  At trial, the officer admits having hit the man in the head with the butt of his gun but contends that the force was necessary, because the man was resisting arrest.  In support of his contention, the officer seeks to introduce evidence that the man had resisted arrest on three prior occasions during the last 10 years.","No, because evidence of the prior incidents constitutes impermissible character evidence.","No, because the officer has not shown that the man was convicted in connection with the prior incidents.","Yes, because the incidents in question are relevant evidence of the man's propensity for violence.","Yes, because the incidents in question are sufficient to constitute a habit.",A,,In-Class MBE
Is the witness’s testimony admissible?,"A factory worker is charged with criminal assault on his manager after losing money to the manager during a game of poker.  The factory worker testified that he struck the manager while acting in self-defense.  The state now seeks to call a witness to testify that, on two prior occasions, the witness saw the factory worker assault someone without provocation after a poker game and thereafter falsely claim self-defense.","No, because it is improper character evidence.","No, because it is not relevant.","Yes, as evidence of the factory worker's violent nature.","Yes, as evidence that the factory worker did not act in self-defense on this occasion.",D,,In-Class MBE
How should the court proceed?,"A plaintiff sued a defendant for civil battery.  At trial, the defendant testified that he was nowhere near the plaintiff when the plaintiff sustained the injuries at issue.  The defendant now seeks to call a witness to testify to the defendant’s reputation for both peacefulness and truthfulness.  The plaintiff has objected to the testimony.","Admit the testimony in its entirety, because evidence concerning a defendant's character is always admissible.","Admit the testimony regarding the defendant's reputation for peacefulness, but exclude the testimony regarding his reputation for truthfulness.","Exclude the testimony regarding the defendant's reputation for peacefulness, but admit the testimony regarding his reputation for truthfulness.","Exclude the testimony in its entirety, because this is a civil suit and the defendant's character for truthfulness was not attacked.",D,,In-Class MBE
Is the roommate’s testimony admissible?,"A defendant was charged with manufacturing methamphetamine with intent to distribute.  At the defendant's trial, the prosecutor calls the defendant’s college roommate.  The roommate will testify that when he and the defendant were in college, eight years before the trial, he saw the defendant use cocaine on several occasions while studying for finals.  The defendant objects to the roommate’s testimony.","No, because it is improper character evidence.","No, because the defendant was never convicted of the previous acts.","Yes, because it is probative of intent, and intent is an element of the charged crime.","Yes, because it is probative of the defendant's knowledge about drugs.",A,,In-Class MBE
Is the defendant’s statement admissible?,"A plaintiff has sued a defendant for personal injuries the plaintiff suffered when she was bitten as she was trying to feed a rat that was part of the defendant’s caged-rat experiment at a science fair.  At trial, the plaintiff offers evidence that immediately after the incident the defendant said to her, “I’d like to give you this $100 bill because I feel so bad about this.”","No, because it is not relevant to the issue of liability.","No, because it was an offer of compromise.","Yes, as a present sense impression.","Yes, as the statement of a party-opponent.",D,,In-Class MBE
Is the witness’s testimony admissible?,"At a woman’s trial for bank robbery, the prosecutor has called a private security guard for the bank who has testified, without objection, that while he was on a coffee break, the woman’s brother rushed up to him and said, “Come quickly!  My sister is robbing the bank!”  The woman now seeks to call a witness to testify that the brother later told the witness, “I got my sister into trouble by telling a security guard that she was robbing the bank, but now I realize I was mistaken.”  The brother is unavailable to testify.","No, because the brother will be afforded no opportunity to explain or deny the later statement.","No, because the prosecutor will be afforded no opportunity to confront the brother.","Yes, because it is substantive proof that the woman did not rob the bank.","Yes, but only as an inconsistent statement to impeach the brother’s credibility.",D,,In-Class MBE
Is the homeowner’s testimony regarding the plumber’s response admissible?,"A homeowner sued a plumber for damages resulting from the plumber’s allegedly faulty installation of water pipes in her basement, which caused flooding.  At trial, the homeowner is prepared to testify that when she first detected the flooding, she turned off the water and called the plumber at his emergency number for help and that the plumber responded, “I’ll come by tomorrow and redo the installation for free.”","No, because it is hearsay not within any exception.","No, because the statement was an offer in compromise.","Yes, as a subsequent remedial measure.","Yes, as evidence of the plumber’s fault.",D,,In-Class MBE
Why is the cyclist’s testimony relating what the defendant’s employee said at the hospital admissible to prove negligence?,"A cyclist sued a defendant corporation for injuries sustained when she was hit by a truck owned by the defendant and driven by its employee, who was making deliveries for the defendant.  The day after the accident, the employee visited the cyclist in the hospital and said, “I’m sorry for what I did.”

At trial, the employee has testified that he exercised due care.",It is a prior inconsistent statement.,It is a statement against interest.,It is a statement by a party-opponent’s agent.,It is a statement of then-existing state of mind.,C,,In-Class MBE
How should the court rule on the admissibility of the plaintiff’s testimony?,A plaintiff sued a defendant for copyright infringement because the defendant’s book contained some slightly disguised house plans on which the plaintiff held the copyright.  The plaintiff is prepared to testify that he heard the defendant’s executive assistant for copyright matters say that the defendant had obtained an advance copy of the plans from the plaintiff’s office manager.  The defendant’s attorney objects.,The testimony is admissible as a statement of a coconspirator.,The testimony is admissible as a statement of an employee of a party-opponent.,"The testimony is inadmissible, because it is hearsay not within any exception.","The testimony is inadmissible, because there is no showing that the assistant was authorized to speak for the defendant.",B,,In-Class MBE
Is the witness’s testimony in the criminal trial admissible in the civil action?,"A defendant was indicted for engaging in a fraudulent investment scheme.  At the criminal trial, the prosecutor called a witness who had participated in the scheme with the defendant.  The witness testified about the operation of the scheme and was cross-examined by the defendant’s attorney.  The case resulted in a mistrial.

An investor who was allegedly defrauded by the scheme has now brought a civil action against the defendant.  She seeks to introduce the witness’s testimony from the criminal trial.  The witness has moved to a foreign country.","No, because the burden of proof in a criminal action is different from the burden of proof in a civil action.","No, because the parties are not identical in the two actions.","Yes, because it is prior testimony of an unavailable declarant.","Yes, but only if the investor demonstrates that she was unable to obtain the witness’s attendance by subpoena or other reasonable means.",D,,In-Class MBE
Is the letter admissible?,"A defendant is on trial for evading $100,000 in taxes.  The prosecution offers in evidence an anonymous letter to the IRS, identified as being in the defendant’s handwriting, saying, “I promised my mother on her deathbed I would try to pay my back taxes.  Here is $10,000.  I’ll make other payments if you promise not to prosecute.  Answer yes by personal ad saying, ‘OK on tax deal.’”","No, because it is an effort to settle a claim.","No, because the probative value is substantially outweighed by the risk of unfair prejudice.","Yes, as a statement of present intention or plan.","Yes, as an admission of a party-opponent.",D,,In-Class MBE
Is the wife’s testimony admissible over the plaintiff’s objection?,"A plaintiff sued his insurance company for the proceeds of a casualty insurance policy covering his 60-foot yacht, claiming that the yacht was destroyed by an accidental fire.  The company has denied liability, claiming that the plaintiff hired his friend to set the fire.  In the hospital the day after the fire, the friend, who had been badly burned in the fire, said to his wife, in the presence of an attending nurse, “I was paid to set the fire.”  Two weeks later, the friend died of an infection resulting from the burns.

At trial, the insurance company calls the wife to testify to the friend’s statement.","No, because the marital privilege survives the communicating spouse’s death.","No, because the statement was made after the conspiracy ended.","Yes, because it is a statement against interest.","Yes, because it is a statement by a coconspirator.",C,,In-Class MBE
Are the memoranda admissible?,"A hotel sued a motel for infringement of the hotel’s trade name.  To establish a likelihood of name confusion, the hotel offers a series of memoranda which it had asked its employees to prepare at the end of each day listing instances during the day in which telephone callers, cab drivers, customers, and others had confused the two names.","No, because they are hearsay not within any exception.","No, because they are more unfairly prejudicial and confusing than probative.","Yes, because they are past recollection recorded.","Yes, because they are records of regularly conducted business activity.",A,,In-Class MBE
Is the detective’s testimony admissible?,"A defendant has been charged with drug trafficking. Prior to trial, a woman who intended to testify against the defendant was savagely attacked and left comatose.  At a pretrial hearing, the prosecution called the defendant’s neighbor, who testified that the defendant said he was no longer worried about the woman testifying because he “took care of her.”  At trial, the prosecution has called a narcotics detective to testify to the woman’s formal statement to the police, which detailed the defendant’s role in a large-scale drug trafficking operation.","No, because the testimony is hearsay not within any exception.","No, because the testimony violates the confrontation clause.","Yes, as a prior identification of the defendant.","Yes, as a statement against a party who caused the declarant’s unavailability.",D,,In-Class MBE
Is the testimony of the witness concerning the victim’s statement admissible?,"A defendant was charged with aggravated assault.  At trial, the victim testified that the defendant beat her savagely, but she was not asked about anything said during the incident.  The prosecutor then called a witness to testify that when the beating stopped, the victim screamed: “I’m dying—don’t let [the defendant] get away with it!”","No, because it is hearsay not within any exception.","No, because the victim was not asked about the statement.","Yes, as a statement under belief of imminent death, even though the victim did not die.","Yes, as an excited utterance.",D,,In-Class MBE
Is the neighbor’s testimony admissible?,"A defendant was prosecuted for murder of a man whose body was found one morning in the street near the defendant’s house.  The state calls a neighbor to testify that during the night before the body was found he heard the defendant’s wife scream, “You killed him!  You killed him!”","No, because it reports a privileged spousal communication.","No, if the wife objects on spousal immunity grounds.","Yes, as a report of a statement of belief.","Yes, as a report of an excited utterance.",D,,In-Class MBE
Is the photocopy of the plaintiff’s hospital chart admissible?,"In a medical malpractice suit by a plaintiff against his doctor, the plaintiff seeks to introduce a properly authenticated photocopy of his hospital chart.  The chart contained a notation made by a medical resident that an aortic clamp had broken during the plaintiff’s surgery.  The resident made the notation in the regular course of practice, but he had no personal knowledge of the operation and cannot remember which of the operating physicians gave him the information.","No, as a violation of the best evidence rule.","No, because it is hearsay within hearsay.","
Yes, as a record of regularly conducted activity.","Yes, as recorded recollection.",C,,In-Class MBE
Is the friend’s testimony admissible?,A defendant is on trial for robbing a bank in State A.  She testified that she was in State B at the time of the robbery.  The defendant calls her friend to testify that two days before the robbery the defendant told him that she was going to spend the next three days in State B.,"No, because it is hearsay not within any exception.","No, because it is offered to establish an alibi by the defendant’s own statement.","
Yes, because a statement of plans falls within the hearsay exception for then-existing state of mind.","Yes, because the statement falls within the present sense impression exception to the hearsay rule.",C,,In-Class MBE
Is the witness’s testimony admissible?,"A defendant, the mayor of a city, ran an illegal gambling business with his ruthless business partner.  The defendant was charged with dishonest and fraudulent dealings in violation of a federal statute and conspiracy to obstruct law enforcement.  At trial, the prosecutor called a witness, a secretary working at the police department.  The witness intends to testify that an investigating officer told her that he was afraid to arrest the mayor’s business partner because certain officers had been punished for arresting members of the business partner’s operation in the past.","No, because it is hearsay not within any exception.","No, because the statement was not made while under the stress of a startling event.","Yes, as a statement by the officer of his then-existing emotional condition.","Yes, provided that the officer is unavailable to testify.",C,,In-Class MBE
Should the court admit the statement from the report?,"A plaintiff has brought a civil suit against a defendant for injuries arising out of a fistfight between them.  The day after the fight, a police officer talked to the plaintiff, the defendant, and an eyewitness, and made an official police report.

At trial, the plaintiff seeks to introduce from the properly authenticated police report a statement attributed to the eyewitness, who is unavailable to testify at trial, that “[the defendant] started the fight.”","No, because it is hearsay not within any exception.","No, unless the entire report is introduced.","Yes, because it is an excerpt from a public record offered in a civil case.","Yes, because it was based on the eyewitness’s firsthand knowledge.",A,,In-Class MBE
Is the woman’s testimony concerning her husband’s statement admissible?,"A woman sued a neighbor for shooting her husband from ambush.  The woman offers to testify that, the day before her husband was killed, he described to her a chance meeting with the neighbor on the street in which the neighbor said, “I’m going to blow your head off one of these days.”","No, because it is hearsay not within any exception.","No, because it is improper evidence of a prior bad act.","Yes, because the neighbor’s statement is that of a party-opponent.","Yes, to show the neighbor’s state of mind.",A,,In-Class MBE
Is the transcript of the friend’s unsworn interview with the detective admissible?,"A defendant has been charged with murder.  The defendant has pleaded not guilty, claiming that on the night of the murder, he was visiting a friend in a neighboring town.  During the investigation, a detective interviewed the friend.  The friend informed the detective that he and his wife hosted a dinner party at their home on the night of the murder.  The friend stated that the dinner party was attended by the defendant and the friend's sister.  The friend further stated that the defendant became intoxicated at the dinner party, so the friend took the keys to the defendant's vehicle to prevent the defendant from leaving.  Soon after the interview with the detective, the friend died.

Prior to trial, the defendant properly notified the prosecution of his intent to introduce the transcript of the friend's unsworn interview with the detective at trial.","No, because it is hearsay not within any exception.","No, because its admission violates the Sixth Amendment confrontation clause.","Yes, because the friend is unavailable to testify.","Yes, under the residual hearsay exception.",A,,In-Class MBE
Is the witness’s testimony admissible?,"In an automobile collision case, the plaintiff introduced evidence that a bystander made an excited utterance that the defendant ran a red light.  The defendant called a witness to testify that later the bystander, now deceased, told the witness that the defendant went through a yellow light.","No, because it is hearsay not within any exception.","No, because the bystander is not available to explain or deny the inconsistency.","Yes, as impeachment and as substantive evidence of the color of the light.","Yes, but only for the purpose of impeaching the bystander.",D,,In-Class MBE
Is the letter admissible?,"A plaintiff sued her employer, alleging that poor working conditions had caused her to develop a stomach ulcer.  At trial, the plaintiff’s medical expert testified to the cause of the plaintiff’s ulcer and stated that his opinion was based in part on information in a letter the plaintiff’s personal doctor had written to the plaintiff’s employer, explaining why the plaintiff had missed work.  The plaintiff offered the doctor’s letter to prove the cause of her condition.","No, because it is hearsay not within any exception.","No, because the plaintiff’s doctor is not shown to be unavailable.","Yes, because it was relied upon by the plaintiff’s medical expert.","Yes, under the business records exception to the hearsay rule.",A,,In-Class MBE
Should the demand for the attorney’s fee records be upheld?,"A defendant is on trial for tax evasion.  The prosecutor, seeking to establish the defendant’s income by showing his expenditures, has asked the defendant’s attorney to produce records showing only how much the defendant had paid his attorney in fees.","No, because the records are protected by the attorney work-product doctrine.","No, because the records are protected by the attorney-client privilege.","Yes, because it calls for relevant information not within the attorney-client privilege.","Yes, because the attorney-client privilege cannot be invoked to conceal evidence of a crime.",C,,In-Class MBE
Is the psychologist’s testimony admissible?,"On trial for murdering her husband, a woman testified she acted in self-defense.  The woman calls a psychologist as an expert witness to testify that under hypnosis the woman had described the killing, and that in the psychologist’s expert opinion the woman had been in fear for her life at the time of the killing.","No, because it expresses an opinion concerning the woman’s mental state at the time of the killing.","No, because reliance on information tainted by hypnosis is unconstitutional.","Yes, because it reports a prior consistent statement by a witness (the woman) subject to examination concerning it.","Yes, because the psychologist was able to ascertain that the woman was speaking truthfully.",A,,In-Class MBE
What is the best ground for objecting to this question?,"A plaintiff sued a defendant for damages for back injuries received in a car wreck.  The defendant disputed the damages and sought to prove that the plaintiff’s disability, if any, resulted from a childhood horseback riding accident.  The plaintiff admitted the childhood accident but contended it had no lasting effect.

The plaintiff calls an orthopedist who had never examined the plaintiff and poses to the orthopedist a hypothetical question as to the cause of the disability that omits any reference to the horseback riding accident.  The question was not provided to opposing counsel before trial.",Hypothetical questions are no longer permitted.,Sufficient notice of the hypothetical question was not given to opposing counsel before trial.,The hypothetical question omitted a clearly significant fact.,The orthopedist lacked firsthand knowledge concerning the plaintiff’s condition.,C,,
Should the court admit the expert’s testimony?,"A plaintiff sued the manufacturer of his lawn mower, alleging that, as the result of a design defect, he was injured when the mower’s blade flew off after striking a sprinkler head in the lawn.

At trial, the manufacturer has called as an expert witness a product safety engineer, who testifies that the manufacturer retained him for a fee to test identical mowers and, if his opinion was helpful, to testify in the case.  The expert then testifies that he did test the mowers, and that the blade, as designed and installed by the manufacturer, could not fly off in the manner claimed by the plaintiff.  Assume that the expert has used a reliable method for reaching his conclusion.","No, because it goes to an ultimate issue that only the jury can decide.","No, because the manufacturer paid the expert to render a certain opinion, in violation of rules barring paid testimony.","Yes, because expert testimony on such issues of causation is relevant and helpful to the jury.","Yes, provided that the plaintiff had notice and an opportunity to participate in the testing process.",C,,
Should the expert’s opinion be admitted?,"At a defendant’s trial for drug dealing, a prosecution witness testified that he had heard the defendant telling a group of people to come to the defendant’s house because he had “a great crop of apples for sale.”  The prosecutor then called and qualified a drug enforcement agent as an expert in how drug dealing is conducted.  The prosecutor now seeks to have the expert testify that in her opinion, based on years of experience with drug dealers, the defendant’s statement about the apples was code for his having drugs for sale.","No, because an expert must base his or her opinion on scientific or technical data, not merely on experience.","No, because the opinion is based on the criminal actions of others engaged in drug dealing, and thus is substantially more unfairly prejudicial than probative.","Yes, because the opinion is based on her specialized knowledge, and it will assist the trier of fact in understanding the evidence and determining facts in issue in the case.","Yes, provided that the expert first testifies about the specific information upon which she based her view that the defendant was using ""apples"" as a code word to refer to drugs.",C,,
Should the court allow the defendant’s question?,"A plaintiff, the owner of a condominium building, sued a defendant, a young architect, in federal court.  The plaintiff alleged that the defendant was negligent in designing the plaintiff’s building and that defects in the building’s structural design rendered it unsafe and uninhabitable.  At trial, the plaintiff called a structural engineer as an expert witness and asked her several questions about her education and experience.  The court found that the engineer was qualified to testify as an expert and permitted her to offer an opinion on the soundness of the building’s design.  On cross-examination, the defendant asked the engineer if it was true that she had failed three engineering classes while in graduate school.  The plaintiff has objected to the question.","No, because the court already decided that the engineer is an expert.","No, because the engineer’s character has not been placed in issue.","Yes, because a party may inquire into specific instances of conduct that bear on a witness’s truthfulness during cross-examination.","Yes, because it goes to the weight to be given to the engineer’s testimony.",D,,
Should the court allow the plaintiff’s expert to testify at trial?,"A plaintiff who lives near a factory has sued the company that owns it, alleging that a toxin released from the factory caused the plaintiff to suffer a respiratory disease.  The company contends that only a small amount of the toxin was released for a brief period, and that in any event the toxin is not known to cause any respiratory disease.  The plaintiff has not disputed the minimal amount and brief length of the exposure.

At trial, the plaintiff seeks to call an expert who will testify that in her opinion the toxin released from the factory caused the plaintiff’s respiratory disease.  The company has objected to the admission of the expert’s testimony.

At a pretrial hearing to determine the admissibility of the expert’s testimony, the expert testified that she based her opinion on several studies provided by the plaintiff’s attorney about another substance that is similar to the toxin at issue.  These studies show that prolonged exposure to high doses of the similar substance can cause the respiratory disease that the plaintiff suffers from.  On cross-examination, the company’s attorney elicits from the expert an admission that she did not consider, in forming her opinion, two recent clinical studies, both of which concluded that there was no connection between the toxin at issue and any respiratory disease.","No, because the expert is relying on studies that she read for purposes of preparing her testimony in this litigation.","No, because the plaintiff has failed to show by a preponderance of the evidence that the expert based her opinion on sufficient facts and data and that she employed a reliable methodology.","Yes, because the company has not met its burden of showing that the expert’s opinion is unreliable.","Yes, because the sufficiency of an expert’s basis for an opinion and the reliability of an expert’s methodology are questions of weight for the jury.",B,,
What is the proper ruling for the court to make?,"A defendant has been indicted for shooting a gun at a local official.  She has raised an insanity defense.  At trial, the defendant’s attorney seeks to call a qualified psychiatrist as an expert witness.  The psychiatrist would testify (1) that at the time of the shooting the defendant suffered from schizophrenia and heard voices commanding her to shoot the official, and (2) that because of these auditory hallucinations, the defendant was legally insane at the time of the shooting.  The prosecutor objects to the proposed testimony.","The psychiatrist’s testimony is admissible in its entirety, because it will be helpful to the jury.","The psychiatrist’s testimony is admissible in its entirety, because the bar on expert testimony about a criminal defendant’s mental state applies to the prosecution’s expert witnesses only.","The psychiatrist’s testimony regarding the defendant’s schizophrenia and auditory hallucinations is admissible, but the testimony about whether the defendant was legally insane at the time of the shooting is inadmissible.","The psychiatrist’s testimony is inadmissible in its entirety, because an expert witness may not testify about a criminal defendant’s mental state.",C,,
Will production of the report be required?,A woman sued a car manufacturer alleging that she was seriously injured when a defect in her car’s engine caused it to seize while the car was in motion.  The manufacturer’s chief engineer prepared a report on the engine’s production history and failure rate at the request of the manufacturer’s attorney in preparation for trial.  The report was then delivered to the attorney.  The woman demands that the report be produced during discovery.,"No, because it is a privileged attorney-client communication.","No, because the report contains hearsay.","No, because the report is self-serving.","Yes, because business reports are not privileged.",A,,In-Class MBE
Can the attorney be required to produce the letter?,"In a federal investigation of a defendant for tax fraud, the grand jury seeks to obtain a letter written January 15 by the defendant to her attorney in which she stated: “Please prepare a deed giving my ranch to the university specified herein.  But, in order to get around the tax law, I want it back-dated to December 15.”

The attorney refuses to produce the letter on the ground of privilege.","No, because the statement is protected by the attorney-client privilege.","No, because the statement is protected by the client’s privilege against self-incrimination.","Yes, because the attorney-client privilege belongs to the client and can be claimed only by her.","Yes, because the statement was in furtherance of crime or fraud.",D,,In-Class MBE
Is the attorney’s testimony privileged?,A defendant is on trial for the crime of obstructing justice by concealing records that were subpoenaed in a government investigation.  The government calls the defendant’s attorney to testify that the defendant contacted the attorney and asked him how to comply with the regulations regarding the transfer of records to a safe-deposit box in Mexico.  The defendant’s purpose in seeking the attorney’s advice was to avoid those restrictions.,"No, provided the attorney knew the advice was sought for an illegal purpose.","No, whether or not the attorney knew the advice was sought for an illegal purpose.","Yes, because an attorney is required to keep the confidences of his clients.","Yes, because it relates to conduct outside the jurisdiction of the United States.",B,,In-Class MBE
